序号,名字,品质,类型,属性掉落ID,属性最大等级,被动最大等级,图标,介绍
1131013,鸣鸿刀,3,1,31113,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231013,破山剑,3,2,32113,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331013,点金枪,3,3,33113,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431013,神臂弓,3,4,34113,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531013,泥金羽扇,3,5,35113,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131014,鸣鸿刀,3,1,31114,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231014,破山剑,3,2,32114,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331014,点金枪,3,3,33114,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431014,神臂弓,3,4,34114,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531014,泥金羽扇,3,5,35114,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131015,鸣鸿刀,3,1,31115,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231015,破山剑,3,2,32115,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331015,点金枪,3,3,33115,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431015,神臂弓,3,4,34115,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531015,泥金羽扇,3,5,35115,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131016,鸣鸿刀,3,1,31116,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231016,破山剑,3,2,32116,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331016,点金枪,3,3,33116,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431016,神臂弓,3,4,34116,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531016,泥金羽扇,3,5,35116,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131017,鸣鸿刀,3,1,31117,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231017,破山剑,3,2,32117,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331017,点金枪,3,3,33117,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431017,神臂弓,3,4,34117,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531017,泥金羽扇,3,5,35117,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131018,鸣鸿刀,3,1,31118,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231018,破山剑,3,2,32118,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331018,点金枪,3,3,33118,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431018,神臂弓,3,4,34118,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531018,泥金羽扇,3,5,35118,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131019,鸣鸿刀,3,1,31119,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231019,破山剑,3,2,32119,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331019,点金枪,3,3,33119,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431019,神臂弓,3,4,34119,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531019,泥金羽扇,3,5,35119,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132001,鸣鸿刀,3,1,31201,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232001,破山剑,3,2,32201,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332001,点金枪,3,3,33201,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432001,神臂弓,3,4,34201,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532001,泥金羽扇,3,5,35201,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132002,鸣鸿刀,3,1,31202,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232002,破山剑,3,2,32202,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332002,点金枪,3,3,33202,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432002,神臂弓,3,4,34202,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532002,泥金羽扇,3,5,35202,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132003,鸣鸿刀,3,1,31203,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232003,破山剑,3,2,32203,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332003,点金枪,3,3,33203,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432003,神臂弓,3,4,34203,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532003,泥金羽扇,3,5,35203,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132004,鸣鸿刀,3,1,31204,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232004,破山剑,3,2,32204,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332004,点金枪,3,3,33204,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432004,神臂弓,3,4,34204,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532004,泥金羽扇,3,5,35204,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132005,鸣鸿刀,3,1,31205,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232005,破山剑,3,2,32205,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332005,点金枪,3,3,33205,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432005,神臂弓,3,4,34205,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532005,泥金羽扇,3,5,35205,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132006,鸣鸿刀,3,1,31206,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232006,破山剑,3,2,32206,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332006,点金枪,3,3,33206,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432006,神臂弓,3,4,34206,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532006,泥金羽扇,3,5,35206,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132007,鸣鸿刀,3,1,31207,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232007,破山剑,3,2,32207,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332007,点金枪,3,3,33207,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432007,神臂弓,3,4,34207,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532007,泥金羽扇,3,5,35207,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132008,鸣鸿刀,3,1,31208,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232008,破山剑,3,2,32208,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332008,点金枪,3,3,33208,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432008,神臂弓,3,4,34208,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532008,泥金羽扇,3,5,35208,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132009,鸣鸿刀,3,1,31209,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232009,破山剑,3,2,32209,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332009,点金枪,3,3,33209,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432009,神臂弓,3,4,34209,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532009,泥金羽扇,3,5,35209,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132010,鸣鸿刀,3,1,31210,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232010,破山剑,3,2,32210,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332010,点金枪,3,3,33210,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432010,神臂弓,3,4,34210,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532010,泥金羽扇,3,5,35210,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132011,鸣鸿刀,3,1,31211,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232011,破山剑,3,2,32211,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332011,点金枪,3,3,33211,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432011,神臂弓,3,4,34211,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532011,泥金羽扇,3,5,35211,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132012,鸣鸿刀,3,1,31212,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232012,破山剑,3,2,32212,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332012,点金枪,3,3,33212,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432012,神臂弓,3,4,34212,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532012,泥金羽扇,3,5,35212,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132013,鸣鸿刀,3,1,31213,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232013,破山剑,3,2,32213,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332013,点金枪,3,3,33213,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432013,神臂弓,3,4,34213,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532013,泥金羽扇,3,5,35213,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132014,鸣鸿刀,3,1,31214,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232014,破山剑,3,2,32214,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332014,点金枪,3,3,33214,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432014,神臂弓,3,4,34214,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532014,泥金羽扇,3,5,35214,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132015,鸣鸿刀,3,1,31215,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232015,破山剑,3,2,32215,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332015,点金枪,3,3,33215,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432015,神臂弓,3,4,34215,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532015,泥金羽扇,3,5,35215,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132016,鸣鸿刀,3,1,31216,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232016,破山剑,3,2,32216,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332016,点金枪,3,3,33216,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432016,神臂弓,3,4,34216,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532016,泥金羽扇,3,5,35216,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132017,鸣鸿刀,3,1,31217,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232017,破山剑,3,2,32217,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332017,点金枪,3,3,33217,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432017,神臂弓,3,4,34217,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532017,泥金羽扇,3,5,35217,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132018,鸣鸿刀,3,1,31218,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232018,破山剑,3,2,32218,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332018,点金枪,3,3,33218,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432018,神臂弓,3,4,34218,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532018,泥金羽扇,3,5,35218,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1132019,鸣鸿刀,3,1,31219,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1232019,破山剑,3,2,32219,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1332019,点金枪,3,3,33219,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1432019,神臂弓,3,4,34219,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1532019,泥金羽扇,3,5,35219,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133001,鸣鸿刀,3,1,31301,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233001,破山剑,3,2,32301,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333001,点金枪,3,3,33301,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433001,神臂弓,3,4,34301,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533001,泥金羽扇,3,5,35301,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133002,鸣鸿刀,3,1,31302,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233002,破山剑,3,2,32302,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333002,点金枪,3,3,33302,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433002,神臂弓,3,4,34302,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533002,泥金羽扇,3,5,35302,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133003,鸣鸿刀,3,1,31303,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233003,破山剑,3,2,32303,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333003,点金枪,3,3,33303,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433003,神臂弓,3,4,34303,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533003,泥金羽扇,3,5,35303,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133004,鸣鸿刀,3,1,31304,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233004,破山剑,3,2,32304,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333004,点金枪,3,3,33304,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433004,神臂弓,3,4,34304,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533004,泥金羽扇,3,5,35304,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133005,鸣鸿刀,3,1,31305,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233005,破山剑,3,2,32305,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333005,点金枪,3,3,33305,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433005,神臂弓,3,4,34305,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533005,泥金羽扇,3,5,35305,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133006,鸣鸿刀,3,1,31306,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233006,破山剑,3,2,32306,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333006,点金枪,3,3,33306,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433006,神臂弓,3,4,34306,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533006,泥金羽扇,3,5,35306,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133007,鸣鸿刀,3,1,31307,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233007,破山剑,3,2,32307,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333007,点金枪,3,3,33307,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433007,神臂弓,3,4,34307,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533007,泥金羽扇,3,5,35307,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133008,鸣鸿刀,3,1,31308,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233008,破山剑,3,2,32308,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333008,点金枪,3,3,33308,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433008,神臂弓,3,4,34308,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533008,泥金羽扇,3,5,35308,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133009,鸣鸿刀,3,1,31309,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233009,破山剑,3,2,32309,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333009,点金枪,3,3,33309,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433009,神臂弓,3,4,34309,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533009,泥金羽扇,3,5,35309,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133010,鸣鸿刀,3,1,31310,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1233010,破山剑,3,2,32310,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1333010,点金枪,3,3,33310,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1433010,神臂弓,3,4,34310,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1533010,泥金羽扇,3,5,35310,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1133011,鸣鸿刀,3,1,31311,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
