试题id,试题类型,题目描述（最多86个汉字）,答案选项（最多5个汉字）,正确答案(填写正确答案的位置),题目倒计时,正确奖励1,正确奖励2,正确奖励3,正确奖励4,正确奖励5,正确奖励6（不要填，会挡住下一题按钮）,错误奖励1,错误奖励2,错误奖励3,错误奖励4,错误奖励5,错误奖励6
id,nType,nDesc,nAnswer,nRightAnswer,nCountDown,nReward1,nReward2,nReward3,nReward4,nReward5,nReward6,nRewardError1,nRewardError2,nRewardError3,nRewardError4,nRewardError5,nRewardError6
int,int,string,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string
180,1,关羽在离开曹操时，唯一带走的曹操的赠物是？,美女|金银|奴役|赤兔马,4,30,103|21|10,,,,,,103|21|5,,,,,
181,1,水镜先生是指谁？,司马懿|司马徽|庞德公|徐庶,2,30,103|21|10,,,,,,103|21|5,,,,,
182,1,“宁教我负天下人，不教天下人负我”是谁说的？,曹操|陈宫|吕布|关羽,1,30,103|21|10,,,,,,103|21|5,,,,,
183,1,刘备在汝南大败后投靠谁？,刘表|孙权|张鲁|袁绍,1,30,103|21|10,,,,,,103|21|5,,,,,
184,1,为《三国志》作注的学者是,颜师古|刘孝标|陆法言|裴松之 ,4,30,103|21|10,,,,,,103|21|5,,,,,
185,1,讨伐董卓联盟的盟主是？,孔融|袁绍|袁术|曹操,2,30,103|21|10,,,,,,103|21|5,,,,,
186,1,曹操派谁说服了关羽投降？,于禁|张辽|郭嘉|蒋干,2,30,103|21|10,,,,,,103|21|5,,,,,
187,1,曹操献七星宝刀，是为了杀死谁？,刘备|吕布|董卓|孙权,3,30,103|21|10,,,,,,103|21|5,,,,,
188,1,诸葛亮帮助刘备取到孙夫人，给赵云的锦囊妙计有多少个？,1个|2个|3个|4个,3,30,103|21|10,,,,,,103|21|5,,,,,
189,1,三国中被称为“绝智”的是谁？,刘备|诸葛亮|关羽|曹操,2,30,103|21|10,,,,,,103|21|5,,,,,
190,1,三国中被称为“绝奸”的是谁？,刘备|诸葛亮|关羽|曹操,4,30,103|21|10,,,,,,103|21|5,,,,,
191,1,火烧连营七百里的吴将是谁？,周瑜|黄忠|黄盖|陆逊,4,30,103|21|10,,,,,,103|21|5,,,,,
192,1,后主是指谁？,孙休|曹芳|刘禅|孙权,3,30,103|21|10,,,,,,103|21|5,,,,,
193,1,被马超追赶而割发弃袍的是,徐晃|曹操|夏侯惇|曹洪,2,30,103|21|10,,,,,,103|21|5,,,,,
194,1,关羽在刮骨疗毒时，与谁在一起下棋,关平|马良|刘备|张飞,2,30,103|21|10,,,,,,103|21|5,,,,,
195,2,"官渡之战,袁绍的一位谋士因不满袁绍而投降了曹操,他献计偷袭乌巢导致了袁军大败.他是谁?",许攸|郭嘉|爱迪生|神笔马良,1,20,103|21|10,,,,,,103|21|5,,,,,
196,2,“闻曹丞相文不明孔孟之道，武不达孙吴之机，专务强霸而居大位，安能有所，以开发明公耶?”这句话是谁说的?,张松|拿破仑|希特勒|武松,1,20,103|21|10,,,,,,103|21|5,,,,,
197,2,“白发居西蜀，清名震大邦。忠心如皎月，卷长江。宁可断头死，安能屈膝降。巴州年老将，天下更无双。”说的是谁？,严颜|马超|项羽|樊哙,1,20,103|21|10,,,,,,103|21|5,,,,,
198,2,曹操戎马一生，有一回两军对峙中忽大笑“事成矣”，属下问其故，曰：“胜一人难，胜二人易”。问：曹操话中所指为哪二人?,韩遂、马超|东邪、西毒|南帝、北丐|张良、韩信,1,20,103|21|10,,,,,,103|21|5,,,,,
199,2,曹操拥戴汉献帝是根据其属下“逢天子以令不臣”的政策;而哪位君主的属下才真正提出过“挟天子以令诸侯”的政策?,袁绍|刘禅|司马昭|孙皓,1,20,103|21|10,,,,,,103|21|5,,,,,
200,2,三国魏军八虎骑(又称曹八将)中没有何人?,张辽|曹仁|曹洪|曹纯,1,20,103|21|10,,,,,,103|21|5,,,,,
201,2,"青梅煮酒论英雄一段中,曹操评价一人：”虚名无实，非英雄也。“此人是谁",刘表|刘备|夏侯惇|夏侯渊,1,20,103|21|10,,,,,,103|21|5,,,,,
202,2,头顶嵌宝紫金冠，身披璎珞红锦袍，腰系碾玉狮子带，骑一匹卷毛赤兔马的人物是谁?,吕布|张郃|赵云|吕蒙,1,20,103|21|10,,,,,,103|21|5,,,,,
203,2,“葬于汉中定军山，就在山坡中挖一个坟，坟坑可装下棺材便行了。穿平常的衣服，不随葬器物”是谁生前留下的遗嘱?,诸葛亮|庞统|司马懿|周瑜,1,20,103|21|10,,,,,,103|21|5,,,,,
204,2,"在曹魏与东吴征战时,曾有一位将军令东吴将士闻名丧胆,就连小孩子夜里听说这位将军都不敢啼哭了,请问是哪一位将军?",张辽|陆逊|关羽|司马懿,1,20,103|21|10,,,,,,103|21|5,,,,,
205,2,黄巾贼程志远为何人所杀？,关羽|张角|司马光|马良,1,20,103|21|10,,,,,,103|21|5,,,,,
206,2,赤壁之战中，谁诈降曹操？,黄盖|阿童木|爱因斯坦|成吉思汗,1,20,103|21|10,,,,,,103|21|5,,,,,
207,2,诸葛亮最后一次北伐时病死在哪里？,五丈原|太行山|江南|北戴河,1,20,103|21|10,,,,,,103|21|5,,,,,
208,2,在作战中眼睛被流箭射中，说：“父精母血不可弃”而把眼睛吃掉的是?,夏侯惇|曹操|孙策|赵云,1,20,103|21|10,,,,,,103|21|5,,,,,
209,2,三国时期，从未得到过汉玉玺的是谁?,刘备|曹操|孙坚|袁术,1,20,103|21|10,,,,,,103|21|5,,,,,
210,2,七步成诗的是?,曹植|曹丕|曹冲|曹仁,1,20,103|21|10,,,,,,103|21|5,,,,,
211,2,刘备的江山是怎么来的？,哭出来的|笑出来的|骂出来的|唱出来的,1,20,103|21|10,,,,,,103|21|5,,,,,
212,2,使张辽成名的战役是,逍遥津之战|官渡之战|赤壁之战|六出祁山,1,20,103|21|10,,,,,,103|21|5,,,,,
213,2,请问曾经当过刘备军师的「单福」其实是何人,徐庶|周瑜|鲁肃|郭嘉,1,20,103|21|10,,,,,,103|21|5,,,,,
214,2,周瑜娶的小乔是谁的女儿,曹国公|乔国公|孟国公|王涵雨,2,20,103|21|10,,,,,,103|21|5,,,,,
215,2,秦始皇死后，谁即位成为秦二世？,扶苏|胡该|胡亥|秦先生,3,20,103|21|10,,,,,,103|21|5,,,,,
216,2,"古人常说的""一甲子""是现在的多少年？",100年|10年|50年|60年,4,20,103|21|10,,,,,,103|21|5,,,,,
217,2,"勿以善小而不为，勿以恶小而为之""是谁提出的？",鲁迅|刘邦|诸葛亮|刘备,4,20,103|21|10,,,,,,103|21|5,,,,,
218,2,"红藕香残玉簟秋。轻解罗裳，独上兰舟。云中谁寄锦书来？雁字回时，月满西楼。花自飘零水自流。一种相思，两处闲愁。此情无计可消除，才下眉头，却上心头。""该词的作者是？",李尔王|李白|李寻欢|李清照,4,20,103|21|10,,,,,,103|21|5,,,,,
219,2,麻婆豆腐所用的主要调味料是：,小葱|辣椒|豆腐|花椒,4,20,103|21|10,,,,,,103|21|5,,,,,
220,2,西岳指的是？,衡山|嵩山|泰山|华山,4,20,103|21|10,,,,,,103|21|5,,,,,
221,2,"三十六计""中的""苦肉计、美人计、空城计、连环计、反间计、走为上""是：",敌战计|攻战计|胜战计|败战计,4,20,103|21|10,,,,,,103|21|5,,,,,
222,2,"双管齐下""中的""双管""本意是什么？",两只手|两根管子|两条腿|两只笔,4,20,103|21|10,,,,,,103|21|5,,,,,
223,2,著名琴曲歌辞《胡笳十八拍》是谁的作品？,李龟年|嵇康|姜夔|蔡琰,4,20,103|21|10,,,,,,103|21|5,,,,,
224,2,"诗句""每逢佳节倍思亲""中的""佳节""原意是指:",元宵节|端午节|清明节|重阳节,4,20,103|21|10,,,,,,103|21|5,,,,,
225,2,袁绍去世后，袁谭商议暂时归顺曹操，借其气力消灭袁尚，于是遣使（）访曹。该使者从时局角度劝曹操把握机会统一河北，得到信任，魏国建立后身居高位，还活跃于五丈原之战中。,张允|蒋干|蔡瑁|辛毗,4,20,103|21|10,,,,,,103|21|5,,,,,
226,2,"偃旗息鼓""偃""的意思是:",丢掉|盖起来|藏起来|放倒,4,20,103|21|10,,,,,,103|21|5,,,,,
227,2,重阳节，人们有登高、赏菊、插茱萸和喝什么酒的风俗？,梅子酒|雄黄酒|桂花酒|菊花酒,4,20,103|21|10,,,,,,103|21|5,,,,,
228,2,"铜雀春深锁二乔""此句诗所述与下列哪位人物有关？",黄盖|周瑜|孙策|曹操,4,20,103|21|10,,,,,,103|21|5,,,,,
229,2,"文房四宝""中的毛笔是谁发明的？",爱迪生|鲁班|司马光|蒙恬,4,20,103|21|10,,,,,,103|21|5,,,,,
230,2,我们都知道诗圣是杜甫，那么医圣又是哪一位呢？,司马懿|华佗|孙思邈|张仲景,4,20,103|21|10,,,,,,103|21|5,,,,,
231,2,曹操于建安二十五年春正月去世，寿（）。,九十九岁|六十岁|五十岁|六十六岁,4,20,103|21|10,,,,,,103|21|5,,,,,
232,2,《三国演义》中的卢马最先为谁所坐？,魏延|刘备|吕布|张武,4,20,103|21|10,,,,,,103|21|5,,,,,
233,2,"《三国演义》中""语倾三峡水，目视十行书""的是谁",周瑜|许攸|诸葛亮|张松,4,20,103|21|10,,,,,,103|21|5,,,,,
234,2,鸿门宴中，项庄为何舞剑？,耍帅|勾引刘邦|心情好|刺杀刘邦,4,20,103|21|10,,,,,,103|21|5,,,,,
235,2,"卧薪尝胆""说的是谁？",赤兔|阖闾|夫差|勾践,4,20,103|21|10,,,,,,103|21|5,,,,,
236,2,关羽归顺曹操后，曹操待之颇厚。一日曹操见关公马瘦，遂赐名马（）与他，关公欣然谢恩。,爪黄飞电|的卢|绝影|赤兔,4,20,103|21|10,,,,,,103|21|5,,,,,
237,2,"成也萧何，败也萧何""说的是谁的经历？",萧何|韩当|韩寒|韩信,4,20,103|21|10,,,,,,103|21|5,,,,,
238,2,汉建安五年，袁绍与曹操，在河北展开决战，此役奠定了曹操统一华北的基础，是我国历史上以少胜多的著名战役，史称____。,潼关之战|赤壁之战|夷陵之战|官渡之战,4,20,103|21|10,,,,,,103|21|5,,,,,
239,2,如下哪次战役不是以弱胜强之战?,虎牢关之战|官渡之战|彝陵之战|赤壁之战,1,20,103|21|10,,,,,,103|21|5,,,,,
240,2,春秋战国时著名的历史事件“三家分晋”不包括哪一家?,智|赵|韩|魏,1,20,103|21|10,,,,,,103|21|5,,,,,
241,2,以下谁没有治过水?,李靖|鲧|大禹|李冰,1,20,103|21|10,,,,,,103|21|5,,,,,
242,2,以下哪个兵种不是《三国演义》中所提到的特殊兵种,虎豹骑|藤甲兵|连弩兵|大象兵,1,20,103|21|10,,,,,,103|21|5,,,,,
243,2,望梅止渴的主人公是谁,曹操|刘备|赵云|曹植,1,20,103|21|10,,,,,,103|21|5,,,,,
244,2,第一个称关羽是美鬓公的是？,献帝|刘备|曹操|袁绍,1,20,103|21|10,,,,,,103|21|5,,,,,
245,2,曹操曾在哪次战役中割须弃袍？,潼关|赤壁|巨鹿|官渡,1,20,103|21|10,,,,,,103|21|5,,,,,
246,2,曹操中了周瑜之计误斩了水师都督蔡瑁和谁,张允|文成|乐进|周瑜,1,20,103|21|10,,,,,,103|21|5,,,,,
247,2,关羽失了荆州，最后退拒的地方是？,麦城|公安|夏口|白帝城,1,20,103|21|10,,,,,,103|21|5,,,,,
248,2,被马超追赶而割发弃袍的是？,徐晃|曹操|夏侯惇|曹洪,2,20,103|21|10,,,,,,103|21|5,,,,,
249,2,诸葛亮首次伐魏时由于谁的大意而失了街亭？,马岱|马谡|红八千|杜立,2,20,103|21|10,,,,,,103|21|5,,,,,
250,2,黄老将军用“骄兵之计”占领了哪里？,洛阳|天荡山 |长坂坡|巍山,2,20,103|21|10,,,,,,103|21|5,,,,,
251,2,是谁将徐州让给刘备？,陶喆|陶谦|徐晃|张辽,2,20,103|21|10,,,,,,103|21|5,,,,,
252,2,周瑜巧施苦肉计，鞭打了谁？,黄忠|黄盖|吴八千|乔国公,2,20,103|21|10,,,,,,103|21|5,,,,,
253,2,三国时，反复无常的“三姓家奴”吕布没有投靠过谁?,董卓|孙坚|王允|丁原,2,20,103|21|10,,,,,,103|21|5,,,,,
254,2,大名府是指,上海|北京|成都|重庆,2,20,103|21|10,,,,,,103|21|5,,,,,
255,2,春秋战国时期具有朴素辩证法思想的思想家是哪一位?,孔子|老子|庄子|墨子,2,20,103|21|10,,,,,,103|21|5,,,,,
256,2,诸葛亮出山后的第一仗是什么?,官渡之战|火烧博望坡|彝陵之战|赤壁之战,2,20,103|21|10,,,,,,103|21|5,,,,,
257,2,三顾茅庐发生在我国历史哪个朝代?,春秋|东汉|近代|唐代,2,20,103|21|10,,,,,,103|21|5,,,,,
258,2,望、闻、问、切的四诊法是谁创立的,华佗|扁鹊|赵申|元田,2,20,103|21|10,,,,,,103|21|5,,,,,
259,2,三国时期，刘备号称皇叔，问他是谁的子孙?,吴广|刘胜|刘谋|赵天,2,20,103|21|10,,,,,,103|21|5,,,,,
260,2,下列哪个选项不属于“三纲五常”中的“五常”?,仁|孝|义|礼,2,20,103|21|10,,,,,,103|21|5,,,,,
261,2,谁杀了魏延,关羽|马岱|小红|马超,2,20,103|21|10,,,,,,103|21|5,,,,,
262,2,谁在作战的时候被射中了左眼，并把它吃了？,马超|食神|夏侯惇|张飞,3,20,103|21|10,,,,,,103|21|5,,,,,
263,2,孙坚怎么死的,自缢|毒死|被乱箭射死|气死,3,20,103|21|10,,,,,,103|21|5,,,,,
264,2,谁“马越断桥”,赵云|马超|孙权|大入,3,20,103|21|10,,,,,,103|21|5,,,,,
265,2,吕布是在哪里死的,上海|成都|白门楼|北京,3,20,103|21|10,,,,,,103|21|5,,,,,
266,2,木流牛马是谁发明的,皇帝|黄舞蝶|黄月英|鲁班,3,20,103|21|10,,,,,,103|21|5,,,,,
267,2,关羽在华容道放走了谁,刘备|大入|曹操|张飞,3,20,103|21|10,,,,,,103|21|5,,,,,
268,2,曾经和关羽，张飞兄弟两人打的不分上下的第一武将为?,刘禅|曹操|吕布|马超,3,20,103|21|10,,,,,,103|21|5,,,,,
269,2,赤壁之战中，谁献策诈降曹操?,贾诩|马超|黄盖|公孙策,3,20,103|21|10,,,,,,103|21|5,,,,,
270,2,曹操因人进献一吉祥物，劳师动众的搭建了一座巨台，其名为?,遇砷台|灶台|铜雀台|澄龙台,3,20,103|21|10,,,,,,103|21|5,,,,,
271,2,《洛神赋》中洛神是意指谁的妻子?,大入|马超|曹丕|汉献帝,3,20,103|21|10,,,,,,103|21|5,,,,,
272,2,孙权称帝后，下列何者被任命丞相?,曹操|大入|顾雍|刘备,3,20,103|21|10,,,,,,103|21|5,,,,,
273,2,曹操谓曰「将军在匆忙之中，能整兵坚垒，任谤任劳，使之反败为胜虽古之名将，何以加兹者!」为何人?,于谦|时迁|于禁|黄忠,3,20,103|21|10,,,,,,103|21|5,,,,,
274,2,关羽的养子是谁?,马超|吴八千|关平|关途,3,20,103|21|10,,,,,,103|21|5,,,,,
275,2,歇后语--刘备的江山是?,捡到的|吃出来的|问出来的|哭出来的,4,20,103|21|10,,,,,,103|21|5,,,,,
276,2,当曹操擒得吕布想收为义子时，刘备建了什么言使吕布被宰?,他战斗力低|他吃的多|他专吃马|他专杀义父,4,20,103|21|10,,,,,,103|21|5,,,,,
277,2,是谁向曹操报告孙策袭取许都之心，后被孙策所杀?,刘邦|贾寻|项羽|许贡,4,20,103|21|10,,,,,,103|21|5,,,,,
278,2,诸葛亮隐居时常把自己比作?,狄龙|谋意|周瑜|管仲,4,20,103|21|10,,,,,,103|21|5,,,,,
279,2,请问曾经当过刘备军师的「单福」其实是何人?,司马懿|贾诩|张角|徐庶,4,20,103|21|10,,,,,,103|21|5,,,,,
280,2,夏侯敦被何人射去一眼?,曹操|曹植|曹丕|曹性,4,20,103|21|10,,,,,,103|21|5,,,,,
281,2,周瑜娶的小乔是谁的女儿?,马超|张入恒|赵宇|乔国公,4,20,103|21|10,,,,,,103|21|5,,,,,
282,2,称蜀中有断头将军，无降将军，但是到最后还是投降张飞的将领是?,司马迁|颜良|文丑|严颜,4,20,103|21|10,,,,,,103|21|5,,,,,
283,2,下列不属于十常侍的是？,段珪|高望|郭胜|邹靖,4,20,103|21|10,,,,,,103|21|5,,,,,
284,2,“长生”是谁的字？,张飞|曹操|刘备|关羽,4,20,103|21|10,,,,,,103|21|5,,,,,
285,2,受衣带诏的是？,徐庶|董卓|赵挺|董承,4,20,103|21|10,,,,,,103|21|5,,,,,
286,2,官渡之战中谁投靠曹操使其获得胜利？,黄盖|司马懿|周瑜|许攸,4,20,103|21|10,,,,,,103|21|5,,,,,
287,2,在华容道三笑三败的是,关羽|刘表|刘备|曹操,4,20,103|21|10,,,,,,103|21|5,,,,,
288,2,董卓立谁为汉献帝？,萧何|刘星|张入|刘协,4,20,103|21|10,,,,,,103|21|5,,,,,
289,2,在白门楼大呼“吕布匹夫！死则死耳，何惧之有！”的是,于禁|文远|鲁肃|张辽,4,20,103|21|10,,,,,,103|21|5,,,,,
290,2,吉利是谁的小名,诸葛亮|刘备|曹操|曹操,4,20,103|21|10,,,,,,103|21|5,,,,,
291,2,煮酒论英雄时曹操提到了以下哪个典故,割须弃袍|割发代首|白门楼|望梅止渴,4,20,103|21|10,,,,,,103|21|5,,,,,
292,2,孙权的专属战器是,朱雀羽扇|诸葛连弩|白虎银枪|月下美人,3,20,103|21|10,,,,,,103|21|5,,,,,
293,2,貂蝉的专属战器是,龙舌弓|倚天剑|月下美人|古锭刀,3,20,103|21|10,,,,,,103|21|5,,,,,
294,2,马超的专属战器是,倚天剑|若麒麟牙|龙骑枪|燕回闪,3,20,103|21|10,,,,,,103|21|5,,,,,
295,2,姜维的专属战器是,魍魉|千浪破|魑魅|若麒麟牙,4,20,103|21|10,,,,,,103|21|5,,,,,
296,2,在哪一处商店可以直接购买兵符？,圣石商店|限定商店|神眷点商店|云游商人,4,20,103|21|10,,,,,,103|21|5,,,,,
297,2,讨伐玩法队伍需要几位玩家一起战斗？,一位|五位|十位|三位,4,20,103|21|10,,,,,,103|21|5,,,,,
298,2,玩家可以在王涵雨的七彩商店里购买到什么物品？,金卡|升星印|国战限定卡|头像框,4,20,103|21|10,,,,,,103|21|5,,,,,
299,2,购买战器碎片需要的声望从何处获得？,参与国战|关卡战斗|参与竞技|派遣,4,20,103|21|10,,,,,,103|21|5,,,,,
300,2,凌统的专属战器是,千浪破|魍魉|魑魅|燕回闪,4,20,103|21|10,,,,,,103|21|5,,,,,
301,2,曹仁的专属战器是,青龙刀|月下美人|玄舞折扇|摧城枪,4,20,103|21|10,,,,,,103|21|5,,,,,
302,2,许褚的专属战器是,冥天符|七星刀|惊凰弓|虎煞刀,4,20,103|21|10,,,,,,103|21|5,,,,,
303,2,董卓的专属战器是,诸葛连弩|冥天符|若麒麟牙|七星刀,4,20,103|21|10,,,,,,103|21|5,,,,,
304,2,于吉的专属战器是,丈八蛇矛|虎煞刀|青龙偃月刀|冥天符,4,20,103|21|10,,,,,,103|21|5,,,,,
305,2,华佗的专属战器是,思召剑|鹊画弓|黄天之弓|五行鬼谷杖,4,20,103|21|10,,,,,,103|21|5,,,,,
306,2,袁绍的专属战器是,青龙刀|魑魅|魍魉|思召剑,4,20,103|21|10,,,,,,103|21|5,,,,,
307,2,孙尚香的专属战器是,双股剑|霸海刀|朱雀羽扇|鹊画弓,4,20,103|21|10,,,,,,103|21|5,,,,,
308,2,张角的专属战器是,方天画戟|七星刀|思召剑|黄天之弓,4,20,103|21|10,,,,,,103|21|5,,,,,
309,2,周泰的专属战器是,舍神剑|青虹剑|游龙剑|青冥剑,4,20,103|21|10,,,,,,103|21|5,,,,,
310,2,文丑的专属战器是,天瀑剑|虎煞刀|问龙剑|魑魅,4,20,103|21|10,,,,,,103|21|5,,,,,
311,2,颜良的专属战器是,莫问剑|霸海刀|日月剑|魍魉,4,20,103|21|10,,,,,,103|21|5,,,,,
312,2,卞夫人的专属战器是,竞星剑|月下美人|游龙剑|玲珑之心,4,20,103|21|10,,,,,,103|21|5,,,,,
313,2,甄姬的专属战器是,若麒麟牙|青龙偃月刀|丈八蛇矛|月下美人,4,20,103|21|10,,,,,,103|21|5,,,,,
314,2,夏侯惇的专属战器是,魔圣铜器|永灵刀|转龙壶|破军斩,4,20,103|21|10,,,,,,103|21|5,,,,,
315,2,黄忠的专属战器是,圣灵刀|迦楼罗刀|贪狼弓|黄杨大弓,4,20,103|21|10,,,,,,103|21|5,,,,,
316,2,郭嘉的专属战器是,玄武折扇|赤霄剑|月下美人|弱水剑,4,20,103|21|10,,,,,,103|21|5,,,,,
317,2,太史慈的专属战器是,赤霄剑|白虎银枪|冥天符|虎扑弓,4,20,103|21|10,,,,,,103|21|5,,,,,
318,2,汉献帝的专属战器是,竞星剑|弱水剑|月下美人|赤霄剑,4,20,103|21|10,,,,,,103|21|5,,,,,
319,2,袁曹大战之时，得到可靠情报后，曹军果断出击袁绍军的囤粮之所（），将其烧毁，令袁绍元气大伤，军心散乱。,荆州|建安|乌巢|益州,3,20,103|21|10,,,,,,103|21|5,,,,,
320,2,曹操打败了马超，声势大振，益州刘璋软弱，欲归顺朝廷，但曹操以貌取人，慢待使者（），致使其忿怒，将曹操羞辱一番，转而将西川地图献给了刘备。,许攸|庄松|张松|苟或,3,20,103|21|10,,,,,,103|21|5,,,,,
321,2,曹操挥军北上，数年之间平定了河北全境。演义记载，大胜之后曹军又从地里挖出一个（），荀攸比为吉祥之意，曹操大喜，遂以此为名建造高台。,银雀|金雀|铜雀|和氏璧,3,20,103|21|10,,,,,,103|21|5,,,,,
322,2,曹操命曹仁屯兵樊城，窥视荆州，曹仁率军进攻新野刘备，却败于刘备新任军师（）之手。程昱指名此人之来历，并称才能胜自己十倍。,马谡|诸葛亮|徐庶|庞统,3,20,103|21|10,,,,,,103|21|5,,,,,
323,2,以下历史事件中，与关羽无关的是：,大意失荆州|千里走单骑|七擒七纵|温酒斩华雄,3,20,103|21|10,,,,,,103|21|5,,,,,
324,2,"中国的""七大古都""中，安阳、洛阳和开封都在同一个省，请问是哪一个省？",河南|河北|四川|江西,1,20,103|21|10,,,,,,103|21|5,,,,,
325,2,江南三大名楼不包括哪个？,蓬莱阁|滕王阁|黄鹤楼|岳阳楼,1,20,103|21|10,,,,,,103|21|5,,,,,
326,2,"成语""口蜜腹剑""说的是谁？",李林甫|杜甫|李白|程昱,1,20,103|21|10,,,,,,103|21|5,,,,,
327,2,不是我国佛教的四大名山是？,浙江普陀山|安徽九华山|四川峨眉山|河南少室山,1,20,103|21|10,,,,,,103|21|5,,,,,
328,2,下列历史上的大动乱跟吴三桂有关的是：,三藩之乱|七擒七纵|赤壁大战|火烧连营,1,20,103|21|10,,,,,,103|21|5,,,,,
329,2,《资治通鉴》的作者是？,司马光|司马缸|司马懿|司马迁,1,20,103|21|10,,,,,,103|21|5,,,,,
330,2,"在我国古代，""建康""指的是现在的哪个城市？",南京|洛阳|西安|成都,1,20,103|21|10,,,,,,103|21|5,,,,,
331,2,"我住长江头，君住长江尾，夜夜思君不见君，共饮长江水""的词牌名是什么？",卜算子|点绛唇|浣溪沙|南乡子,1,20,103|21|10,,,,,,103|21|5,,,,,
332,2,商朝的最后一个国王是:,纣|尧|舜|禹,1,20,103|21|10,,,,,,103|21|5,,,,,
333,2,"以下哪一位曾被称为""药王""？",孙思邈|孙尚香|孙悟空|华佗,1,20,103|21|10,,,,,,103|21|5,,,,,
334,2,曹操西征汉中之际，孙权进攻合淝，但遭大将张辽击败于逍遥津，先输一阵。曹操立刻班师来到，其大营却遭东吴____率百骑突破，横冲直撞，还未损一人。,甘宁|孙坚|周泰|周瑜,1,20,103|21|10,,,,,,103|21|5,,,,,
335,2,"弄璋""是指生了：",男孩|女孩|人妖|球,1,20,103|21|10,,,,,,103|21|5,,,,,
336,2,"问世间情是何物，直教生死相许""语出：",元好问|李白|苏轼|杜甫,1,20,103|21|10,,,,,,103|21|5,,,,,
337,2,"大夫""在我国古代是指：",官职|医生|丈夫|护士,1,20,103|21|10,,,,,,103|21|5,,,,,
338,2,关云长身在曹营心在汉，斩颜良诛文丑后挂印封金，离开曹操，向河北进发。演义记载，途中，他遇见黄巾余党____，但此次并未收留这位日后的蜀中长寿先锋。,廖化|张角|张宝|周仓,1,20,103|21|10,,,,,,103|21|5,,,,,
339,2,曹操马超对垒，曹军猛将（）裸衣与马超大战数百回合，极大提高了士气，曹操称其为虎侯。,许褚|夏侯渊|夏侯惇|关羽,1,20,103|21|10,,,,,,103|21|5,,,,,
340,2,岳阳楼座落在我国哪个省，毗邻湘北洞庭湖，风景优美？,湖北省|湖南省|江苏省|江西省,2,20,103|21|10,,,,,,103|21|5,,,,,
341,2,"河北多名士，忠贞推（）：凝眸知阵法，仰面识天文;至死心如铁，临危气似云。曹公钦义烈，特与建孤坟。""诗中这位袁绍谋臣至死不降曹操，留下千古烈名。",曹仁|沮授|许攸|张松,2,20,103|21|10,,,,,,103|21|5,,,,,
342,2,广东把馄饨叫做？,馄饨|云吞|抄手|肉燕,2,20,103|21|10,,,,,,103|21|5,,,,,
343,2,"成语""闻鸡起舞""是出自哪个古代人物的故事？",李白|祖逖|吕蒙|陆逊,2,20,103|21|10,,,,,,103|21|5,,,,,
344,2,"落霞与孤鹜齐飞,秋水共长天一色""描写的是哪里的景色？",岳阳楼|滕王阁|黄鹤楼|鹳雀楼,2,20,103|21|10,,,,,,103|21|5,,,,,
345,2,袁绍并不甘心官渡的失败，重整人马后进军仓亭，寻曹操决战，此时程昱献（）之计，袁绍大败，从此一蹶不振。,四面楚歌|十面埋伏|苦肉|草船借箭,2,20,103|21|10,,,,,,103|21|5,,,,,
346,2,"春风又绿江南岸，明月何时照我还？""的作者是：",杜甫|王安石|王昌龄|骆宾王,2,20,103|21|10,,,,,,103|21|5,,,,,
347,2,"山城""是我国哪座城市的雅号？",成都|重庆|广州|西安,2,20,103|21|10,,,,,,103|21|5,,,,,
348,2,我国有文字可考的历史源于哪个朝代？,夏朝|商朝|周朝|汉朝,2,20,103|21|10,,,,,,103|21|5,,,,,
349,2,"成语""中流击楫""是出自哪个古代人物的故事？",吕蒙|祖逖|郭嘉|马谡,2,20,103|21|10,,,,,,103|21|5,,,,,
350,2,袁曹大战之时，曹操缺乏粮食，陷入困境，而袁绍帐中谋士互相猜忌，致使曹操的故交（）叛离袁绍，从此战争的天平倾向曹军。,张松|许攸|司马懿|张郃,2,20,103|21|10,,,,,,103|21|5,,,,,
351,2,令慈是古代对对方亲属中哪一位的尊称？,妹妹|父亲|母亲|姐姐,3,20,103|21|10,,,,,,103|21|5,,,,,
352,2,项羽在巨鹿之战中，用什么方式激励士气最终大败秦兵？,南蛮入侵|凿壁偷光|过河拆桥|破釜沉舟,4,20,103|21|10,,,,,,103|21|5,,,,,
353,2,"海上升明月,天涯共此时""是谁的诗句？",朱自清|杜甫|李白|张九龄,4,20,103|21|10,,,,,,103|21|5,,,,,
354,2,"无中生有""属于三十六计中的：",并战计|胜战计|攻战计|敌战计,4,20,103|21|10,,,,,,103|21|5,,,,,
355,2,"清圣浊贤""是什么的别称？",可乐|牛奶|茶|酒,4,20,103|21|10,,,,,,103|21|5,,,,,
356,2,四大名茶之一的龙井茶产地是？,云南普洱|福建武夷山|四川峨眉山|浙江杭州,4,20,103|21|10,,,,,,103|21|5,,,,,
357,2,"石头城""指我国的哪个城市？",洛阳|西安|成都|南京,4,20,103|21|10,,,,,,103|21|5,,,,,
358,2,曹操马超对垒，长安坚固，不可攻破，于是曹操听取（）之计，用涂改的信件发与韩遂，令马超相疑，成功分化了敌人，并最终获得胜利。,苟或|郭嘉|荀彧|贾诩,4,20,103|21|10,,,,,,103|21|5,,,,,
